date,model,tier,ebay_avg_price_usd,data_source,lhr
2022-01-01,RTX 3080,XX80,1783.0,Tom's Hardware / PCMag / 3D Center,0
2022-01-01,RTX 3080 LHR,XX80,1125.0,TechSpot / Tom's Hardware — range $950-$1300 (midpoint used),1
2022-01-01,RTX 3080 Ti,XX80,1992.0,Tom's Hardware / PCMag / 3D Center,0
2022-01-01,RTX 3090,XX90,2918.0,Tom's Hardware / PCMag / 3D Center,0
2022-02-01,RTX 3060,XX60,700.0,Tom's Hardware / PCMag / 3D Center,0
2022-02-01,RTX 3060 Ti,XX60,930.0,Tom's Hardware / PCMag / 3D Center,0
2022-02-01,RTX 3060 Ti LHR,XX60,650.0,TechSpot / Tom's Hardware — range $550-$750 (midpoint used),1
2022-02-01,RTX 3070,XX70,1100.0,Tom's Hardware / PCMag / 3D Center,0
2022-02-01,RTX 3070 LHR,XX70,775.0,TechSpot / Tom's Hardware — range $650-$900 (midpoint used),1
2022-02-01,RTX 3070 Ti,XX70,1130.0,Tom's Hardware / PCMag / 3D Center,0
2022-02-01,RTX 3080,XX80,1700.0,Tom's Hardware / PCMag / 3D Center,0
2022-02-01,RTX 3080 LHR,XX80,1075.0,TechSpot / Tom's Hardware — range $900-$1250 (midpoint used),1
2022-02-01,RTX 3080 Ti,XX80,1780.0,Tom's Hardware / PCMag / 3D Center,0
2022-02-01,RTX 3090,XX90,2650.0,Tom's Hardware / PCMag / 3D Center,0
2022-03-01,RTX 3060,XX60,600.0,Tom's Hardware / PCMag / 3D Center,0
2022-03-01,RTX 3060 Ti,XX60,800.0,Tom's Hardware / PCMag / 3D Center,0
2022-03-01,RTX 3060 Ti LHR,XX60,620.0,TechSpot / Tom's Hardware — range $520-$720 (midpoint used),1
2022-03-01,RTX 3070,XX70,950.0,Tom's Hardware / PCMag / 3D Center,0
2022-03-01,RTX 3070 LHR,XX70,725.0,TechSpot / Tom's Hardware — range $600-$850 (midpoint used),1
2022-03-01,RTX 3070 Ti,XX70,900.0,Tom's Hardware / PCMag / 3D Center,0
2022-03-01,RTX 3080,XX80,1500.0,Tom's Hardware / PCMag / 3D Center,0
2022-03-01,RTX 3080 LHR,XX80,1000.0,TechSpot / Tom's Hardware — range $850-$1150 (midpoint used),1
2022-03-01,RTX 3080 Ti,XX80,1450.0,Tom's Hardware / PCMag / 3D Center,0
2022-03-01,RTX 3090,XX90,2200.0,Tom's Hardware / PCMag / 3D Center,0
